text,label,propaganda
Bu okul ile ilgili birkaç şikâyet vardı fakat bazı yorumlar yalnızca bu olumsuz örnekleri seçip sanki her kullanıcı aynı kötü deneyimi yaşamış gibi aktarıyor.,negative,çarpıtma
"Bu restoran destekleyenler kendilerini dürüst insanlar olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
Bu kulaklık o kadar kötü anlatılıyor ki en ufak sorun bile felaket seviyesinde gösteriliyor; yaşanan aksaklık sanki tam bir çöküşmüş gibi büyütülüyor.,negative,abartma
"Doktorlar bu proje için en doğru seçimin bu olduğunu söylüyor denilerek olumlu görüş, doğrudan otoriteye dayandırılıp tartışmasız kabul ettirilmeye çalışılıyor.",positive,otoriteye dayandırma
"Bu dizi övülürken karşı çıkanlara bilgisiz ve beceriksiz denmesi, olumlu görüşü desteklemek için doğrudan insanlara saldıran kaba bir dil oluşturuyor.",positive,hakaret
Bu bilgisayar eleştirilirken taraflar keskin biçimde ayrılıyor; bir grup kendini tek doğru taraf gibi gösterirken diğer tarafı bütünüyle zararlı ilan ediyor.,negative,kutuplaştırma
Bu telefon o kadar kötü anlatılıyor ki en ufak sorun bile felaket seviyesinde gösteriliyor; yaşanan aksaklık sanki tam bir çöküşmüş gibi büyütülüyor.,negative,abartma
Bu oyun desteklenmezse yakında büyük bir fırsatın kaçacağı ve geride kalanların ciddi zarar göreceği söyleniyor; insanlar beğenmeye korkutularak yönlendiriliyor.,positive,korku yayma
"Bu oyun destekleyenler kendilerini bilinçli kullanıcılar olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
"Bu platform yüzünden çok yakında daha büyük zararların ortaya çıkacağı, herkesin bundan etkileneceği ve önlem alınmazsa işlerin kontrolden çıkacağı söylenerek korku yayılıyor.",negative,korku yayma
Bugün bu telefon ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
Bu şirket hakkında sınırlı sayıda veri bulunmasına rağmen bazı paylaşımlar seçilen birkaç örneği öne çıkarıp genel tabloyu tam yansıtmadan anlatıyor; bu yüzden konu olduğundan daha net görünmüyor.,neutral,çarpıtma
Bu marka eleştirilirken taraflar keskin biçimde ayrılıyor; bir grup kendini tek doğru taraf gibi gösterirken diğer tarafı bütünüyle zararlı ilan ediyor.,negative,kutuplaştırma
"Bu etkinlik övülürken karşı çıkanlara bilgisiz ve beceriksiz denmesi, olumlu görüşü desteklemek için doğrudan insanlara saldıran kaba bir dil oluşturuyor.",positive,hakaret
Bu oyun o kadar kötü anlatılıyor ki en ufak sorun bile felaket seviyesinde gösteriliyor; yaşanan aksaklık sanki tam bir çöküşmüş gibi büyütülüyor.,negative,abartma
Bu etkinlik o kadar kötü anlatılıyor ki en ufak sorun bile felaket seviyesinde gösteriliyor; yaşanan aksaklık sanki tam bir çöküşmüş gibi büyütülüyor.,negative,abartma
Bu belediye hakkında olumsuz yargı kurulurken bazı kişiler hiçbir veri sunmadan profesörler bile bunun başarısız olacağını söylüyor diyerek görüşü otoriteye bağlamaya çalışıyor.,negative,otoriteye dayandırma
Bu ürün o kadar iyi anlatılıyor ki kullananların hayatını tamamen değiştirdiği söyleniyor; normal bir memnuniyet bile neredeyse mucize gibi büyütülüyor.,positive,abartma
"Bu ürün anlatılırken ayrıntılı gerekçe verilmeden yalnızca analistler böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
Bu ürün eleştirilirken taraflar keskin biçimde ayrılıyor; bir grup kendini tek doğru taraf gibi gösterirken diğer tarafı bütünüyle zararlı ilan ediyor.,negative,kutuplaştırma
Bu restoran hakkında olumsuz yargı kurulurken bazı kişiler hiçbir veri sunmadan analistler bile bunun başarısız olacağını söylüyor diyerek görüşü otoriteye bağlamaya çalışıyor.,negative,otoriteye dayandırma
Bu şirket hakkında olumsuz yargı kurulurken bazı kişiler hiçbir veri sunmadan doktorlar bile bunun başarısız olacağını söylüyor diyerek görüşü otoriteye bağlamaya çalışıyor.,negative,otoriteye dayandırma
"Bu platform hakkında net kanıt olmamasına rağmen bazı mesajlar, sessiz kalınırsa yakın zamanda büyük bir sorun çıkacağını ima ederek insanlarda endişe oluşturuyor.",neutral,korku yayma
Bu içerik ile ilgili birkaç şikâyet vardı fakat bazı yorumlar yalnızca bu olumsuz örnekleri seçip sanki her kullanıcı aynı kötü deneyimi yaşamış gibi aktarıyor.,negative,çarpıtma
"Bu kulaklık destekleyenler kendilerini dürüst insanlar olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
"Bu içerik yüzünden çok yakında daha büyük zararların ortaya çıkacağı, herkesin bundan etkileneceği ve önlem alınmazsa işlerin kontrolden çıkacağı söylenerek korku yayılıyor.",negative,korku yayma
Bu okul hakkında olumsuz yargı kurulurken bazı kişiler hiçbir veri sunmadan doktorlar bile bunun başarısız olacağını söylüyor diyerek görüşü otoriteye bağlamaya çalışıyor.,negative,otoriteye dayandırma
Bu kurs için yapılan tanıtımlarda sıradan gelişmeler aşırı büyütülüyor; küçük bir değişiklik bile devrim olmuş gibi ifade ediliyor.,neutral,abartma
"Bu oyun övülürken karşı çıkanlara bilgisiz ve beceriksiz denmesi, olumlu görüşü desteklemek için doğrudan insanlara saldıran kaba bir dil oluşturuyor.",positive,hakaret
"Bu dizi anlatılırken ayrıntılı gerekçe verilmeden yalnızca doktorlar böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
Bu uygulama hakkında olumsuz yargı kurulurken bazı kişiler hiçbir veri sunmadan analistler bile bunun başarısız olacağını söylüyor diyerek görüşü otoriteye bağlamaya çalışıyor.,negative,otoriteye dayandırma
Bu kampanya ile ilgili birkaç şikâyet vardı fakat bazı yorumlar yalnızca bu olumsuz örnekleri seçip sanki her kullanıcı aynı kötü deneyimi yaşamış gibi aktarıyor.,negative,çarpıtma
"Bu kampanya eleştirilirken yalnızca ürün değil onu savunan insanlar da aptal, beceriksiz ve utanmaz gibi sözlerle hedef alınıyor; eleştiri doğrudan hakarete dönüşüyor.",negative,hakaret
Bu okul hakkında sınırlı sayıda veri bulunmasına rağmen bazı paylaşımlar seçilen birkaç örneği öne çıkarıp genel tabloyu tam yansıtmadan anlatıyor; bu yüzden konu olduğundan daha net görünmüyor.,neutral,çarpıtma
Bu ay bu öğretmen ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
"Bu platform anlatılırken ayrıntılı gerekçe verilmeden yalnızca profesörler böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
Bu restoran eleştirilirken taraflar keskin biçimde ayrılıyor; bir grup kendini tek doğru taraf gibi gösterirken diğer tarafı bütünüyle zararlı ilan ediyor.,negative,kutuplaştırma
"Bu içerik destekleyenler kendilerini sorumlu vatandaşlar olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
Bu proje için yapılan tanıtımlarda sıradan gelişmeler aşırı büyütülüyor; küçük bir değişiklik bile devrim olmuş gibi ifade ediliyor.,neutral,abartma
"Bu ulaşım planı destekleyenler kendilerini gerçek destekçiler olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
Bu film o kadar kötü anlatılıyor ki en ufak sorun bile felaket seviyesinde gösteriliyor; yaşanan aksaklık sanki tam bir çöküşmüş gibi büyütülüyor.,negative,abartma
"Bu ulaşım planı övülürken karşı çıkanlara bilgisiz ve beceriksiz denmesi, olumlu görüşü desteklemek için doğrudan insanlara saldıran kaba bir dil oluşturuyor.",positive,hakaret
Bu sınav sistemi hakkında olumsuz yargı kurulurken bazı kişiler hiçbir veri sunmadan sektör liderleri bile bunun başarısız olacağını söylüyor diyerek görüşü otoriteye bağlamaya çalışıyor.,negative,otoriteye dayandırma
Bu ürün hakkında sınırlı sayıda veri bulunmasına rağmen bazı paylaşımlar seçilen birkaç örneği öne çıkarıp genel tabloyu tam yansıtmadan anlatıyor; bu yüzden konu olduğundan daha net görünmüyor.,neutral,çarpıtma
